date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,hour,status
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1.666666667,40,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1,24,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,17,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,0.916666667,22,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,18,1.416666667,34,1
