date,replicate,scientist,primary,secondary_dose,time,load
7/3/2019,V,Abby,01_PBS,1,10,49600000
7/3/2019,V,Abby,01_PBS,1,10,49600000
7/3/2019,V,Abby,01_PBS,1,10,68500000
7/3/2019,V,Abby,02_Efae,0.01,0,336
7/3/2019,V,Abby,02_Efae,0.01,10,15740
7/3/2019,V,Abby,02_Efae,0.01,10,18148
7/3/2019,V,Abby,02_Efae,0.01,10,14259
7/3/2019,V,Abby,02_Efae,0.01,10,15370
7/3/2019,V,Abby,02_Efae,0.1,0,2272
7/3/2019,V,Abby,02_Efae,0.1,10,3520000
7/3/2019,V,Abby,02_Efae,0.1,10,6400000
7/3/2019,V,Abby,02_Efae,0.1,10,9200000
7/3/2019,V,Abby,02_Efae,1,0,9259
7/3/2019,V,Abby,02_Efae,1,10,38000000
7/3/2019,V,Abby,02_Efae,1,10,43600000
