,date,scientist,rep,primary,secondary_dose,vial,day,status
470,6/17/2019,Abby,II,S.m,2,22,4,1
471,6/17/2019,Abby,II,S.m,2,22,7,0
472,6/17/2019,Abby,II,S.m,2,22,7,0
473,6/17/2019,Abby,II,S.m,2,23,1,1
474,6/17/2019,Abby,II,S.m,2,23,2,1
475,6/17/2019,Abby,II,S.m,2,23,7,0
476,6/17/2019,Abby,II,S.m,2,23,7,0
477,6/17/2019,Abby,II,S.m,2,24,1,1
478,6/17/2019,Abby,II,S.m,2,24,7,0
479,6/17/2019,Abby,II,S.m,2,24,7,0
480,6/19/2019,Abby,III,PBS,0.01,1,1,1
481,6/19/2019,Abby,III,PBS,0.01,1,1,1
482,6/19/2019,Abby,III,PBS,0.01,1,1,1
483,6/19/2019,Abby,III,PBS,0.01,1,2,1
484,6/19/2019,Abby,III,PBS,0.01,1,2,1
485,6/19/2019,Abby,III,PBS,0.01,2,2,1
486,6/19/2019,Abby,III,PBS,0.01,2,3,1
487,6/19/2019,Abby,III,PBS,0.01,2,7,0
488,6/19/2019,Abby,III,PBS,0.01,2,7,0
489,6/19/2019,Abby,III,PBS,0.01,2,7,0
490,6/19/2019,Abby,III,PBS,0.01,3,1,1
491,6/19/2019,Abby,III,PBS,0.01,3,2,1
