date,scientist,rep,primary,secondary,secondary_dose,condition,vial,day,hour,status,alive3,opposite
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,14,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,16,1.916667,46,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,17,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,17,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,17,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,17,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,17,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,17,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,17,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,18,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,18,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,18,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,18,1.666667,40,1,FALSE,TRUE
